ensembl_gene_id	gene_string
ENSDARG00000000001	slc35a5
ENSDARG00000000002	ccdc80
ENSDARG00000000018	nrf1
ENSDARG00000000019	ube2h
ENSDARG00000000068	slc9a3r1
ENSDARG00000000069	dap
ENSDARG00000000086	itsn1
ENSDARG00000000103	myh10
ENSDARG00000000142	tmem267
ENSDARG00000000151	thraa
ENSDARG00000000161	itsn2a
ENSDARG00000000175	hoxb2a
ENSDARG00000000183	ptpn4b
ENSDARG00000000189	sema6e
ENSDARG00000000212	krt97
ENSDARG00000000229	usp49
ENSDARG00000000241	slc40a1
ENSDARG00000000324	dcaf8
ENSDARG00000000349	si:rp71-1p14.7
ENSDARG00000000369	prkag3b
ENSDARG00000000370	triob
ENSDARG00000000380	pde6a
ENSDARG00000000394	matr3l1.1
ENSDARG00000000423	si:ch73-314g15.3
ENSDARG00000000442	slc39a13
ENSDARG00000000460	nitr2b
ENSDARG00000000472	cntn2
ENSDARG00000000474	tnni1a
ENSDARG00000000476	pms1
ENSDARG00000000489	upf3b
ENSDARG00000000503	stx1b
ENSDARG00000000516	ankar
ENSDARG00000000529	ofd1
ENSDARG00000000540	asnsd1
ENSDARG00000000542	gtf2e1
ENSDARG00000000551	slc1a4
ENSDARG00000000563	ttn.1
ENSDARG00000000567	znf281a
ENSDARG00000000568	ell
ENSDARG00000000588	grasp
ENSDARG00000000606	dnah6
ENSDARG00000000631	ptpn4a
ENSDARG00000000638	opn1mw4
ENSDARG00000000651	osgepl1
ENSDARG00000000656	psmb9a
ENSDARG00000000666	creg2
ENSDARG00000000690	sypl2b
ENSDARG00000000729	daxx
ENSDARG00000000730	slc6a13
ENSDARG00000000747	lcmt2
ENSDARG00000000760	znf511
ENSDARG00000000767	spi1b
ENSDARG00000000779	scfd1
ENSDARG00000000796	nr4a1
ENSDARG00000000804	rassf6
ENSDARG00000000830	telo2
ENSDARG00000000837	snx9a
ENSDARG00000000853	dstyk
ENSDARG00000000857	mapk14a
ENSDARG00000000861	scrib
ENSDARG00000000887	GTSF1 (1 of many)
ENSDARG00000000906	skap2
ENSDARG00000000935	unk
ENSDARG00000000943	dzip1
ENSDARG00000000966	ncor2
ENSDARG00000001014	myh9b
ENSDARG00000001015	znf384l
ENSDARG00000001057	bysl
ENSDARG00000001127	slc17a6a
ENSDARG00000001129	dicer1
ENSDARG00000001154	rimbp2
ENSDARG00000001162	matr3l1.1
ENSDARG00000001169	hsd17b8
ENSDARG00000001210	arl14ep
ENSDARG00000001220	mycbp2
ENSDARG00000001234	map4k2
ENSDARG00000001241	puf60b
ENSDARG00000001244	srrm1
ENSDARG00000001249	pcgf1
ENSDARG00000001259	gas2a
ENSDARG00000001303	psmb8a
ENSDARG00000001313	g2e3
ENSDARG00000001354	slc6a13l
ENSDARG00000001414	mctp2a
ENSDARG00000001431	actn3b
ENSDARG00000001437	slc2a1a
ENSDARG00000001442	inppl1b
ENSDARG00000001447	mier1b
ENSDARG00000001452	adam8a
ENSDARG00000001463	tdh2
ENSDARG00000001470	mhc1zea
ENSDARG00000001498	skap1
ENSDARG00000001549	sp3a
ENSDARG00000001557	tomm34
ENSDARG00000001558	kifc1
ENSDARG00000001559	csmd2
ENSDARG00000001572	prf1.3
ENSDARG00000001578	echs1
ENSDARG00000001621	nfyal
ENSDARG00000001634	kirrela
ENSDARG00000001656	psmb10
ENSDARG00000001676	gpm6bb
ENSDARG00000001686	uckl1a
ENSDARG00000001710	flot1a
ENSDARG00000001712	si:ch211-247n2.1
ENSDARG00000001721	oc90
ENSDARG00000001729	strn3
ENSDARG00000001733	gulp1a
ENSDARG00000001734	fkbp8
ENSDARG00000001754	noc2l
ENSDARG00000001760	tnxba
ENSDARG00000001767	slc29a2
